_class,id,headline,title,url,avg_rating
course,5140584,Herbalism & Herbology World Encyclopedia of Plants & Herbs!,Beginners Herbalism World Encyclopedia Training Guide,/course/everyday-herbalismplants-and-herbs-world-encyclopedia/,4.2
course,2443810,"Learn tons of English words, phrases, expressions, and tips for handling natural everyday English conversations.",Natural English Conversations,/course/english-conversations/,4.5738635
course,500632,"Learn the basics of Git and GitHub, with clear, step-by-step instructions by a highly rated teacher.",Git Started with GitHub,/course/git-started-with-github/,4.488764
course,1413758,Learn Selenium WebDriver 4 & Cucumber (BDD) from Scratch! - All the way to Developing Compact and Small Framework,"Cucumber, Selenium & Java - in under 2 Hours! - [New 2023]",/course/cucumber-selenium-java-develop-a-framework-in-25-hours/,4.5583334
course,4471016,"An Overview of Lean Techniques for Defining Requirements, User Stories, Features, and Scenarios for Software Development",IT Business Analysts: What They Do and How to Succeed,/course/it-business-analysts-what-they-do-and-how-to-succeed/,4.368421
course,5015366,Master the Parts of Speech and Essential English Verbs,FREE English Grammar Course,/course/free-english-grammar-course/,4.640244
course,2458766,Game development made easy. Learn Unity's UI and create your very own menu system!,Learn To Create A Complete Menu System in Unity,/course/unitymenus/,4.6
course,5398912,The easiest way to prepare for the ISTQB Certified Tester Foundation Level (CTFL) 2023 v.4.0 [NEW!],ISTQB Certified Tester Foundation Level (CTFL) v4.0 [NEW!],/course/istqb-foundation-level-v4-new/,4.5350876
course,2239576,"Beginner Course on Dataverse Development (Microsoft Dynamics 365 CRM , PowerApps) from Ex-Microsoft employee.",FREE Microsoft Dynamics 365& Power Platform Developer Course,/course/free-microsoft-dynamics-365-development-beginner-course/,4.6
course,830298,A fun guide to programming for parents & teachers who want to help kids learn to code.,Scratch Game Programming,/course/scratch-game-programming/,4.388158
course,4440910,"IT Business Analysis in The Age of Artificial Intelligence, Data Analytics, and Machine Learning",Business Analyst: Digital Director for AI and Data Science,/course/an-overview-of-business-analysis-data-analytics-and-ai/,4.140625
course,2899504,"The Fundamentals of Public Speaking, Sales, Persuasion, Influence, Pitching, Habit Change & Reputation Management","FREE COURSE: Business, Management & Leadership Fundamentals",/course/free-course-business-management-leadership-fundamentals/,4.5545454
course,393268,Spark your skills in Excel! Go from a blank worksheet to pivot tables in 36 minutes. Great for interview prep!,Excel Quick Start Tutorial: 36 Minutes to Learn the Basics,/course/excel_quickstart/,4.655738
course,1041426,Take your business one step further. Make and build a beautiful and successful website. Learn & master Wordpress easily!,How To Build And Make A Wordpress Website From Scratch 2022,/course/how-to-build-and-make-a-wordpress-website-from-scratch-2017/,4.4666667
course,5357164,Expand your game development and design knowledge and create cutscenes in Unity with the Timeline package.,Make AWESOME Cutscenes in Unity Using Timeline,/course/unitytimeline/,4.8846154
course,973222,Become a Master AWS Developer,Amazon Web Services - Learning and Implementing AWS Solution,/course/amazon-web-services-aws/,4.3289475
course,680886,Learn the basics to become an Expert of Microsoft Dynamics 365 (CRM) Enterprise Solution and Boost Your Career Growth.,FREE Microsoft Dynamics 365 For Beginners (Updated for 2021),/course/microsoft-dynamics-crm-introduction-course/,4.5277777
